uuid,ocdid,state,name
17aaf700-ef0f-5114-8132-5704c9ca4679,ocd-division/country:us/state:wa/county:yakima/council_district:2,wa,Yakima County District 2
9e31bbef-4d67-558d-a83d-a00222b7d9ce,ocd-division/country:us/state:wa/county:yakima/council_district:3,wa,Yakima County District 3
ef06de16-c52f-59d9-8648-3be6d42376f8,ocd-division/country:us/state:wa/place:kennewick/ward:1,wa,Kennewick WA Ward 1
d2cb2910-6835-552e-a9b5-a145bf2abd95,ocd-division/country:us/state:wa/place:kennewick/ward:2,wa,Kennewick WA Ward 2
317edbf4-8acc-5339-84ac-480fb45ce4df,ocd-division/country:us/state:wa/place:kennewick/ward:3,wa,Kennewick WA Ward 3
e15ca22f-be03-53a1-bdb4-40d73880925a,ocd-division/country:us/state:wa/place:raymond/ward:1,wa,Raymond WA Ward 1
bc8c9eb2-36b9-5294-a78e-7925392c1bbe,ocd-division/country:us/state:wa/place:raymond/ward:2,wa,Raymond WA Ward 2
27a4856d-ef01-5844-a2e2-324b35e568ae,ocd-division/country:us/state:wa/place:raymond/ward:3,wa,Raymond WA Ward 3
3f69bd27-211e-5717-8087-752df1db0bde,ocd-division/country:us/state:wa/place:seattle/council_district:1,wa,Seattle WA City Council District 1
f71062bc-6e2b-510d-9e73-949ce0eb24e4,ocd-division/country:us/state:wa/place:seattle/council_district:2,wa,Seattle WA City Council District 2
c6544b71-473f-5a44-9fae-454338dff369,ocd-division/country:us/state:wa/place:seattle/council_district:3,wa,Seattle WA City Council District 3
597f7e1a-b8ae-5fad-81b8-b4164d0191a9,ocd-division/country:us/state:wa/place:seattle/council_district:4,wa,Seattle WA City Council District 4
f7b73795-f532-5ca7-aeb5-cd80e69b3c8c,ocd-division/country:us/state:wa/place:seattle/council_district:5,wa,Seattle WA City Council District 5
d99efa55-1392-5451-b6da-7e780daea5e4,ocd-division/country:us/state:wa/place:seattle/council_district:6,wa,Seattle WA City Council District 6
ff6f051b-dde4-566e-8c2f-48e56956b270,ocd-division/country:us/state:wa/place:seattle/council_district:7,wa,Seattle WA City Council District 7
f8c3e4c1-e99b-5805-953c-b698224bbc6f,ocd-division/country:us/state:wa/place:seattle/school_board_district:1,wa,Seattle WA School Board District District 1
29705920-62d0-5801-af65-643d82713dba,ocd-division/country:us/state:wa/place:seattle/school_board_district:2,wa,Seattle WA School Board District District 2
5b303231-6b28-5e03-94b2-5a658117cc57,ocd-division/country:us/state:wa/place:seattle/school_board_district:3,wa,Seattle WA School Board District District 3
3b32b422-a468-5b59-a724-a934317cea84,ocd-division/country:us/state:wa/place:seattle/school_board_district:4,wa,Seattle WA School Board District District 4
1c0d4897-c4da-57e9-90c7-a6e1d77f9b45,ocd-division/country:us/state:wa/place:seattle/school_board_district:5,wa,Seattle WA School Board District District 5
5e0b03af-f18a-5093-b7a8-a0ddff57a010,ocd-division/country:us/state:wa/place:seattle/school_board_district:6,wa,Seattle WA School Board District District 6
68b6cc54-f507-5a8f-a24e-355c52b95335,ocd-division/country:us/state:wa/place:seattle/school_board_district:7,wa,Seattle WA School Board District District 7
1814d15c-fdd6-5784-a218-bd70311240d0,ocd-division/country:us/state:wa/place:spokane/council_district:1,wa,Spokane WA City Council district 1
63d6899f-c171-568a-a266-7e0aef846bb8,ocd-division/country:us/state:wa/place:spokane/council_district:2,wa,Spokane WA City Council district 2
5fdfdb24-dab0-504e-b24a-42c42ded16c0,ocd-division/country:us/state:wa/place:spokane/council_district:3,wa,Spokane WA City Council district 3
5a6d0ba1-1a71-5904-9a8e-eca01df456c7,ocd-division/country:us/state:wa/place:tacoma/council_district:1,wa,Tacoma WA City Council district 1
9f73da04-9d8f-5fbd-9629-04dd5b8823fe,ocd-division/country:us/state:wa/place:tacoma/council_district:2,wa,Tacoma WA City Council district 2
